,No
splenic vein thrombosis,5152
congenital pulmonary artery anomaly,5153
diaphragmatic injury,5154
mental status changes postoperative,5155
seborrhoeic keratosis,5156
erythropenia,5157
ethmoid sinus surgery,5158
colon cancer stage i,5159
cerebral haemorrhage,5160
oligohydramnios,5161
creutzfeldt-jakob disease,5162
gastrointestinal signs and symptoms,5163
reflux esophagitis,5164
puberty,5165
balanitis candida,5166
dacryostenosis acquired,5167
biopsy cervix,5168
light sensitivity,5169
bilirubin conjugated abnormal,5170
tendon disorder,5171
dental plaque,5172
gastrointestinal ulcer haemorrhage,5173
distended bladder,5174
ballismus,5175
wisdom teeth removal,5176
secondary immunodeficiency,5177
esophageal stenosis,5178
vertebral artery occlusion,5179
thyroxine free increased,5180
coombs indirect test positive,5181
weight below normal,5182
dermatitides,5183
anaemia postoperative,5184
oestrogen receptor assay positive,5185
adenoiditis,5186
mediastinal shift,5187
multiple gastrointestinal atresias,5188
lung squamous cell carcinoma stage unspecified,5189
eosinophil percentage increased,5190
hypertrophic cardiomyopathy,5191
twin pregnancy,5192
inner ear disorder,5193
victim of homicide,5194
delusion of replacement,5195
vitamin k decreased,5196
blood triglycerides decreased,5197
infusion site discolouration,5198
mean platelet volume decreased,5199
application site induration,5200
shift to the left,5201
anisometropia,5202
glomerular filtration rate increased,5203
erythema multiforme,5204
chillblains,5205
nephritis autoimmune,5206
varicose veins vulval,5207
helicobacter gastritis,5208
metastases to meninges,5209
cholecystitis chronic,5210
metaphyseal dysplasia,5211
dysgraphia,5212
catheter site discharge,5213
joint effusion,5214
pityriasis rubra pilaris,5215
splenic infection,5216
neonatal tachycardia,5217
cholecystitis,5218
portal vein thrombosis,5219
fungal disease,5220
atrial tachycardia,5221
tongue carcinoma stage i,5222
renal mass,5223
dyskinesia,5224
osteitis deformans,5225
itching scar,5226
nocturnal dyspnoea,5227
congenital infection,5228
pyelonephritis,5229
macula lutea degeneration,5230
histamine level increased,5231
oedema genital,5232
hbv-dna polymerase increased,5233
optic nerve cupping,5234
mesenteric artery thrombosis,5235
pallor,5236
partial seizures,5237
pregnancy with contraceptive device,5238
gastric ulcer perforated,5239
lupus nephritis,5240
dental necrosis,5241
blood insulin decreased,5242
sopor,5243
ectopic pregnancy termination,5244
west nile viral infection,5245
laryngotracheal oedema,5246
coombs negative haemolytic anaemia,5247
liver function test abnormal,5248
nucleated red cells,5249
inflammation localised,5250
mycoplasma infection,5251
carotid arterial embolus,5252
sleep study abnormal,5253
periphlebitis,5254
jejunal stenosis,5255
oesophageal food impaction,5256
radical mastectomy,5257
endometrial cancer,5258
nail bed tenderness,5259
deafness unilateral,5260
pruritus generalised,5261
joint surgery,5262
paranasal sinus hypersecretion,5263
hyperhidrosis,5264
radiation hepatitis,5265
polyneuropathy in malignant disease,5266
loss of proprioception,5267
glossopharyngeal nerve disorder,5268
salivary gland conditions,5269
thyroid neoplasm,5270
pregnancy with injectable contraceptive,5271
dental alveolar anomaly,5272
spousal abuse,5273
vascular stent insertion,5274
blood triglycerides,5275
pancreatic atrophy,5276
medulloblastoma recurrent,5277
pancreas transplant rejection,5278
blood bilirubin unconjugated,5279
clostridium difficile colitis,5280
schizoid personality disorder,5281
refusal of examination,5282
enteritis necroticans,5283
syncope vasovagal,5284
haemorrhage subcutaneous,5285
apheresis,5286
gastrointestinal motility disorder,5287
tongue injury,5288
arteriovenous malformation,5289
activated partial thromboplastin time shortened,5290
intrathecal pump insertion,5291
pulmonary toxicity,5292
benign respiratory tract neoplasm,5293
congenital eye disorder,5294
muscle relaxant drug level above therapeutic,5295
tibia fracture,5296
abortion complicated,5297
fluid imbalance,5298
peritonitis,5299
hair disorder,5300
pupil fixed,5301
arterial fibrosis,5302
small intestine operation,5303
painful ejaculation,5304
foetal cardiac disorder,5305
blood immunoglobulin a decreased,5306
rectal ulcer,5307
cervical spasm,5308
scrotal abscess,5309
autoimmune thrombocytopenia,5310
pericardial disease,5311
procollagen type i c-terminal propeptide increased,5312
pulmonary vein stenosis,5313
application site rash,5314
bronchoscopy abnormal,5315
dependent personality disorder,5316
retinopathy sickle cell,5317
pharyngeal oedema,5318
blood lactic acid abnormal,5319
5'nucleotidase increased,5320
semenuria,5321
mononucleosis heterophile test positive,5322
raynaud's phenomenon,5323
echinococciasis,5324
chronic respiratory failure,5325
vocal cord polypectomy,5326
haemorrhagic urticaria,5327
groin infection,5328
gingival cyst,5329
necrotising scleritis,5330
parainfluenzae virus infection,5331
drug withdrawal convulsions,5332
postpartum depression,5333
arteriospasm coronary,5334
glomerulonephritis membranous,5335
eye discharge,5336
fungal sepsis,5337
beta globulin increased,5338
vitamin c deficiency,5339
talipes,5340
aortic calcification,5341
campbell de morgan spots,5342
leishmaniasis,5343
pulmonary alveolar haemorrhage,5344
transferrin saturation increased,5345
congenital pharyngeal anomaly,5346
neuroleptic malignant syndrome,5347
axillary pain,5348
magnesium metabolism disorder,5349
injection site scar,5350
lung infiltration,5351
fungus culture positive,5352
anophthalmos,5353
rectocele repair,5354
bronchial ulceration,5355
bundle branch block bilateral,5356
glycosuria,5357
mouth injury,5358
daydreaming,5359
tocolysis,5360
vestibular disorder,5361
acrochordon,5362
osteodystrophy,5363
benign penile neoplasm,5364
hepatitis granulomatous,5365
cmv infection,5366
murder,5367
tracheal haemorrhage,5368
normal newborn,5369
complications of transplant surgery,5370
tongue dysplasia,5371
antisocial personality disorder,5372
nasal sinus cancer,5373
hospice care,5374
atrial pressure increased,5375
salivary gland neoplasm,5376
friedreich's ataxia,5377
humoral immune defect,5378
congenital cystic disease of liver,5379
ventricular septal defect,5380
vertebral injury,5381
multiple congenital abnormalities,5382
rhagades,5383
cerebellar atrophy,5384
aortic aneurysm rupture,5385
macular pseudohole,5386
uterine perforation,5387
actinic keratosis,5388
skin oedema,5389
movement disorder,5390
abnormal chest sound,5391
biliary tract infection,5392
smooth muscle antibody,5393
microcytic anaemia,5394
enthesopathy,5395
peripheral nerve lesion,5396
hepatotoxicity,5397
grip strength,5398
huntington's chorea,5399
neglect of personal appearance,5400
epinephrine increased,5401
bladder cancer stage iii,5402
lymphocyte stimulation test,5403
hangnail,5404
diabetic retinopathy,5405
toxoplasma serology,5406
livedo reticularis,5407
akathisia,5408
blood bicarbonate abnormal,5409
hereditary cerebral degeneration,5410
palatal disorder,5411
rectal neoplasm,5412
abdominal infection,5413
nicotine dependence,5414
splenic haematoma,5415
urethral cancer,5416
renal lipomatosis,5417
pneumococcal bacteraemia,5418
chondroplasty,5419
secondary progressive multiple sclerosis,5420
anti factor viii antibody positive,5421
5-hydroxyindolacetic acid increased,5422
quadruple vessel bypass graft,5423
hepatic rupture,5424
heart injury,5425
blood iron,5426
porocarcinoma,5427
peritonsillar abscess,5428
ovarian granulosa-theca cell tumour,5429
pulmonary hypertension,5430
lupus-like syndrome,5431
diaphragmatic paralysis,5432
alcohol induced persisting dementia,5433
tympanic membrane perforation,5434
soft tissue infection,5435
fusobacterium infection,5436
coagulation factor ix level decreased,5437
scleral hyperaemia,5438
popliteal pulse decreased,5439
connective tissue inflammation,5440
pulmonary artery wall hypertrophy,5441
subclavian vein thrombosis,5442
microgenia,5443
esophageal spasm,5444
vascular resistance systemic decreased,5445
cell-mediated immune deficiency,5446
ciliary hyperaemia,5447
lymphoid tissue hyperplasia,5448
renal aneurysm,5449
staphylococcal scalded skin syndrome,5450
cow's milk intolerance,5451
bone marrow transplant rejection,5452
bone formation increased,5453
loss of libido,5454
iron binding capacity total increased,5455
antibiotic level above therapeutic,5456
colitis microscopic,5457
blood sodium abnormal,5458
putamen haemorrhage,5459
ovarian atrophy,5460
multifocal leukoencephalopathy,5461
wound drainage,5462
pulmonary radiation injury,5463
coxsackie carditis,5464
freezing phenomenon,5465
epiploic appendagitis,5466
nail bed injury,5467
congenital acrochordon,5468
forearm fracture,5469
polyomavirus-associated nephropathy,5470
arterial bruit,5471
lividity,5472
post abortion complication,5473
spondylolysis,5474
international normalised ratio fluctuation,5475
hypotelorism of orbit,5476
erythropsia,5477
constipated,5478
cardiomyopathy alcoholic,5479
excessive sleepiness,5480
hypocholesterolaemia,5481
localised intraabdominal fluid collection,5482
pulse pressure increased,5483
electrocardiogram repolarisation abnormality,5484
blood growth hormone decreased,5485
psoas abscess,5486
urinary tract inflammation,5487
maternal drugs affecting foetus,5488
colitis viral,5489
adverse event,5490
symblepharon,5491
restrictive pulmonary disease,5492
cancer pain,5493
age indeterminate myocardial infarction,5494
puncture site haemorrhage,5495
syndactyly,5496
toe deformity,5497
odontogenic cyst,5498
large granular lymphocytosis,5499
diaphragmatic aplasia,5500
chorioamnionitis,5501
fear of disease,5502
benign neoplasm of bladder,5503
onychophagia,5504
pulmonary function test abnormal,5505
hyperacusia,5506
bone lesion,5507
encephalitis,5508
neonatal hypotension,5509
tendon pain,5510
endometrial cancer metastatic,5511
acute promyelocytic leukaemia,5512
capnocytophagia infection,5513
auricular swelling,5514
drug level below therapeutic,5515
amentia,5516
allergic colitis,5517
penile malignant neoplasm,5518
rhonchi,5519
haemophilus sepsis,5520
iron deficiency anaemia,5521
anal cancer stage 0,5522
acne rosacea,5523
brain stem glioma,5524
somatic delusion,5525
portal triaditis,5526
diffuse large b-cell lymphoma,5527
dental cleaning,5528
hyperammonaemia,5529
familial tremor,5530
laparoscopy,5531
sexual abuse,5532
thrombectomy,5533
jaw cyst,5534
antibody test,5535
biopsy bone marrow,5536
retinal migraine,5537
hallucination,5538
cystitis noninfective,5539
skeleton dysplasia,5540
genital swelling,5541
renal failure neonatal,5542
iatrogenic infection,5543
nephroangiosclerosis,5544
tuberculosis bladder,5545
pitting oedema,5546
hypergammaglobulinaemia,5547
specific gravity urine increased,5548
ideas of reference,5549
seizure anoxic,5550
transposition of the great vessels,5551
edentulous,5552
pancreatic enzymes abnormal,5553
cardio-respiratory distress,5554
hypopharyngeal cancer,5555
nephrogenic anaemia,5556
acute graft versus host disease in intestine,5557
acrodynia,5558
gastrointestinal disorder congenital,5559
breast discomfort,5560
megaloblasts increased,5561
thrombophlebitis superficial,5562
atrophic vulvovaginitis,5563
blood parathyroid hormone decreased,5564
scleritis,5565
optic disc drusen,5566
precursor t-lymphoblastic lymphoma/leukaemia,5567
axonal neuropathy,5568
cluster headache,5569
cardiac enzymes increased,5570
cervicitis human papilloma virus,5571
pericardial calcification,5572
paracentesis abdomen,5573
fibrosing alveolitis,5574
urethral stricture,5575
spinal shock,5576
urine sodium abnormal,5577
formication,5578
oropharyngeal candidiasis,5579
nephrogenic fibrosing dermopathy,5580
neck exploration,5581
karnofsky scale worsened,5582
eyelash hyperpigmentation,5583
vocal cord polyp,5584
alveolitis necrotising,5585
postoperative fever,5586
salivary gland mass,5587
hepatitis alcoholic,5588
micrococcus infection,5589
endoscopy biliary tract,5590
pleural fibrosis,5591
osteomyelitis acute,5592
antiphospholipid syndrome,5593
tympanic membrane hyperaemia,5594
congenital bladder anomaly,5595
craniotabes,5596
blood pressure abnormal,5597
application site vesicles,5598
spinal cord paralysis,5599
blood lactate dehydrogenase,5600
nerve block,5601
mediastinitis,5602
cardiac massage,5603
brain death,5604
respiratory fume inhalation disorder,5605
sudden cardiac death,5606
potter's syndrome,5607
occipital neuralgia,5608
neurotoxicity,5609
spleen scan abnormal,5610
peripheral occlusive disease,5611
post procedural myocardial infarction,5612
nephritis allergic,5613
tuberculosis gastrointestinal,5614
synoviorthesis,5615
bile duct cancer recurrent,5616
quadriparesis,5617
viral vasculitis,5618
wound,5619
bone giant cell tumour,5620
gas poisoning,5621
antineutrophil cytoplasmic antibody increased,5622
synostosis,5623
incontinence,5624
injection site movement impairment,5625
urethral stricture traumatic,5626
cervicobrachial syndrome,5627
infusion site necrosis,5628
anaemia megaloblastic,5629
micrographic skin surgery,5630
carboxyhaemoglobinaemia,5631
upper airway obstruction,5632
pulmonary haemorrhage,5633
lower limb deformity,5634
plasma cells present,5635
breast fibroma,5636
rubella antibody positive,5637
alpha 2 globulin decreased,5638
ebstein's anomaly,5639
cerebral salt-wasting syndrome,5640
hair disease,5641
transfusion reaction,5642
limb traumatic amputation,5643
folate deficiency,5644
bullous lung disease,5645
foetal movements decreased,5646
diabetic hyperglycaemic coma,5647
skull fractured base,5648
organic erectile dysfunction,5649
prostate cancer stage i,5650
urticaria vesiculosa,5651
administration site reaction,5652
pacemaker complication,5653
erythema of eyelid,5654
varicose ulceration,5655
eunuchoidism,5656
foetal cystic hygroma,5657
bladder operation,5658
compulsive sexual behaviour,5659
perichondritis,5660
bronchopulmonary dysplasia,5661
tumour thrombosis,5662
haemorrhagic infarction,5663
abdominal wall cyst,5664
osteoarthritis generalised,5665
bone tuberculosis,5666
hepatitis a positive,5667
hypomania,5668
gallop rhythm present,5669
glycosylated haemoglobin,5670
microsporidia infection,5671
hypersplenism acquired,5672
basilar artery stenosis,5673
white blood cell count decreased,5674
bacteriuria,5675
spondylopathy traumatic,5676
eye infection toxoplasmal,5677
presbyacusis,5678
diarrhea,5679
alpha 1 foetoprotein increased,5680
paradoxical pressor response,5681
physical disability,5682
bronchial fistula,5683
insulin-requiring type 2 diabetes mellitus,5684
metastases to large intestine,5685
colonic pseudo-obstruction,5686
diverticulectomy,5687
urethral meatus stenosis,5688
multiple chemical sensitivity,5689
aspartate aminotransferase increase,5690
ureteric operation,5691
allergic vasculitis,5692
refusal of treatment by relative,5693
adverse drug effect,5694
ganglioneuroblastoma,5695
kaolin cephalin clotting time abnormal,5696
haemoglobin decreased,5697
candiduria,5698
vertebral artery thrombosis,5699
trismus,5700
gingival hyperplasia,5701
alanine aminotransferase abnormal,5702
haemolytic uraemic syndrome,5703
blood catecholamines increased,5704
emergency care examination,5705
large intestine anastomosis,5706
vaginoplasty,5707
oesophageal variceal ligation,5708
marasmus,5709
oropharyngeal plaque,5710
eosinophils urine present,5711
vaginal haematoma,5712
implant site haemorrhage,5713
tongue eruption,5714
atrial bigeminy,5715
respiratory alkalosis,5716
thrombin-antithrombin iii complex increased,5717
pollakiuria,5718
vitreous degeneration,5719
fibrous histiocytoma,5720
borrelia burgdorferi serology positive,5721
cardiac pacemaker insertion,5722
urogram abnormal,5723
genital disorder male,5724
thoracic haemorrhage,5725
pulmonary arteriopathy,5726
kawasaki's disease,5727
hemianopia homonymous,5728
pancreatic duct dilatation,5729
extensor plantar response,5730
gamma-glutamyltransferase,5731
marfan's syndrome,5732
leucopenia,5733
fungal infection,5734
vitamin e deficiency,5735
chronic graft versus host disease,5736
haemoglobinaemia,5737
pigmentation disorder,5738
prostitute,5739
blood brain barrier defect,5740
documented hypersensitivity to administered drug,5741
bullous impetigo,5742
erythroleukaemia,5743
anticoagulant therapy,5744
biopsy stomach,5745
hyperreflexia,5746
vocal cord atrophy,5747
oculocephalogyric reflex absent,5748
pelvic deformity,5749
emphysema,5750
tuberculosis of genitourinary system,5751
stress incontinence,5752
face pain,5753
foetal monitoring,5754
enlarged spleen,5755
abdominal aortic bruit,5756
abdominal wall anomaly,5757
flat anterior chamber of eye,5758
abscess neck,5759
aspiration breast,5760
no adverse drug effect,5761
renin decreased,5762
cranial nerve paralysis,5763
resection of rectum,5764
ovarian torsion,5765
blindness cortical,5766
pleocytosis,5767
mesangioproliferative glomerulonephritis,5768
mesothelioma malignant advanced,5769
haematotoxicity,5770
lipohypertrophy,5771
blood corticotrophin increased,5772
application site ulcer,5773
crohn's disease,5774
autonomic neuropathy,5775
myelocyte present,5776
breast injury,5777
foetal warfarin syndrome,5778
eye infection viral,5779
blood albumin abnormal,5780
wound haemorrhage,5781
ecg signs of ventricular hypertrophy,5782
nail pitting,5783
bacterial corneal ulcer,5784
conjunctival haemorrhage,5785
cervical incompetence,5786
thromboembolectomy,5787
nasal neoplasm,5788
palpitation,5789
distractibility,5790
mitral valve stenosis,5791
mean cell volume increased,5792
exposure to allergen,5793
coronary artery stenosis,5794
corneal bleeding,5795
hepatic cirrhosis,5796
abdominal haematoma,5797
liver palpable subcostal,5798
brugada syndrome,5799
aspartate aminotransferase abnormal,5800
carbuncle,5801
non-obstructive cardiomyopathy,5802
hodgkin's disease stage iii,5803
conjunctival oedema,5804
ophthalmological examination,5805
iatrogenic injury,5806
calcium ionised,5807
abo incompatibility,5808
retinal bleeding,5809
hyperviscosity syndrome,5810
blood mercury,5811
dysarthria,5812
erythema annulare,5813
brain stem stroke,5814
gastrointestinal toxicity,5815
allergy to metals,5816
creatinine renal clearance decreased,5817
phlebitis,5818
aorta hypoplasia,5819
enterocolitis bacterial,5820
patient isolation,5821
biopsy bile duct abnormal,5822
blood follicle stimulating hormone abnormal,5823
intraocular pressure decreased,5824
anticoagulation drug level below therapeutic,5825
hypometabolism,5826
sebaceous adenoma,5827
blood count,5828
iridocyclitis,5829
neuroglycopenia,5830
cardiac neoplasm unspecified,5831
empty sella syndrome,5832
granulomatous liver disease,5833
febrile neutropenia,5834
oesophageal oedema,5835
leukoencephalomyelitis,5836
glare,5837
gingival abscess,5838
human herpes virus 6 serology positive,5839
gastrostomy,5840
illogical thinking,5841
neoplasia,5842
back injury,5843
central nervous system stimulation,5844
pleural neoplasm,5845
laryngeal dyspnoea,5846
benign tumour excision,5847
plasma cells decreased,5848
nuclear magnetic resonance imaging brain,5849
white blood cell count abnormal,5850
brain stem thrombosis,5851
lipoatrophy,5852
ear infection fungal,5853
buttock pain,5854
urine output,5855
mandibular prosthesis user,5856
blood uric acid abnormal,5857
ureteric reimplantation,5858
acquired tracheo-oesophageal fistula,5859
pulse pressure decreased,5860
multiple sclerosis relapse,5861
dehydration,5862
hypoglycaemic unconsciousness,5863
transaminases abnormal,5864
peritoneal fibrosis,5865
wound secretion,5866
microsporum infection,5867
congenital ureteric anomaly,5868
burning sensation,5869
post procedural swelling,5870
enterovirus infection,5871
sclerosing encapsulating peritonitis,5872
pseudo lymphoma,5873
educational problem,5874
prostatic calcification,5875
hepatitis fulminant,5876
pyramidal tract syndrome,5877
benign soft tissue neoplasm,5878
drug half-life increased,5879
coeliac artery compression syndrome,5880
pericardial cyst,5881
staphylococcal abscess,5882
semen discolouration,5883
nephritis,5884
lymphadenitis viral,5885
hepatic artery occlusion,5886
venous stasis,5887
epidural lipomatosis,5888
stoma site reaction,5889
device ineffective,5890
product quality issue,5891
spinal decompression,5892
normetanephrine urine increased,5893
skin tightness,5894
blood testosterone free increased,5895
breast lump removal,5896
myelodysplastic syndrome transformation,5897
sinus antrostomy,5898
spermatozoa progressive motility decreased,5899
blood antidiuretic hormone decreased,5900
enema administration,5901
eosinophilic myocarditis,5902
monoplegia,5903
metastases to gallbladder,5904
hodgkin's disease stage iv,5905
blast cells,5906
scintigraphy,5907
heart rate irregular,5908
cerebral ventricle dilatation,5909
renal hypoplasia,5910
cerebrospinal fluid leakage,5911
vaginal laceration,5912
skin turgor decreased,5913
troponin,5914
volvulus,5915
tooth malformation,5916
atrioventricular block second degree,5917
ear canal stenosis,5918
adjustment disorder with depressed mood,5919
avian influenza,5920
spinal laminectomy,5921
systemic lupus erythematosus,5922
metabolic alkalosis,5923
urine human chorionic gonadotropin decreased,5924
breath holding,5925
visual field tests abnormal,5926
gastric bypass,5927
secondary hypothyroidism,5928
"delusional disorder, unspecified type",5929
high blood pressure,5930
peritoneal carcinoma,5931
spinal vascular disorder,5932
bipolar ii disorder,5933
libido increased,5934
hyperbaric oxygen therapy,5935
migratory thrombophlebitis,5936
collagen disease,5937
carpal tunnel,5938
electrocardiogram q wave abnormal,5939
ammonia,5940
stomach scan abnormal,5941
myelocytosis,5942
erythema infectiosum,5943
sperm count decreased,5944
infantile apnoeic attack,5945
pancreatic pseudocyst,5946
dermoid cyst of ovary,5947
lip neoplasm,5948
dysthymic disorder,5949
brain hypoxia,5950
metabolic syndrome,5951
fibrin degradation products,5952
breast reconstruction,5953
hypertransaminasaemia,5954
fractured coccyx,5955
blood calcitonin increased,5956
eye prosthesis user,5957
culture negative,5958
aspiration,5959
renal vein occlusion,5960
keratoconus,5961
intraocular pressure fluctuation,5962
drug ineffective,5963
evacuation of retained products of conception,5964
amnestic symptoms,5965
conjunctival adhesion,5966
hepatitis b antigen positive,5967
blood zinc abnormal,5968
infection susceptibility increased,5969
ocular icterus,5970
parapharyngeal abscess,5971
thrombophlebitis,5972
sinus operation,5973
hypergammaglobulinaemia benign monoclonal,5974
injury associated with device,5975
accidental drug intake by child,5976
hypermetabolism,5977
hidradenitis,5978
"astrocytoma, low grade",5979
salivary gland fistula,5980
moyamoya disease,5981
morbid thoughts,5982
urosepsis,5983
blood urea decreased,5984
respiratory rate increased,5985
renal cyst infection,5986
hyposthenuria,5987
knee operation,5988
extrapyramidal disorder,5989
tobacco user,5990
pain in extremity,5991
apnea,5992
afferent loop syndrome,5993
liver disorder,5994
delusion of reference,5995
calcification metastatic,5996
autosomal chromosome anomaly,5997
rectal examination abnormal,5998
acute prerenal failure,5999
mycobacterium avium complex immune restoration disease,6000
lipase decreased,6001
injection site joint redness,6002
bursitis infective,6003
skin dystrophy,6004
barium swallow abnormal,6005
eustachian tube disorder,6006
nail toxicity,6007
abnormal behaviour,6008
cerebellar tumour,6009
fasciectomy,6010
lacrimal gland enlargement,6011
atrial hypertrophy,6012
hereditary optic atrophy,6013
tumour pain,6014
complement factor c4 decreased,6015
application site perspiration,6016
salivary gland resection,6017
postpartum hypopituitarism,6018
blood immunoglobulin a increased,6019
dyscalculia,6020
blood copper decreased,6021
chronic respiratory disease,6022
pseudomonal sepsis,6023
tracheal stenosis,6024
pancreatolithiasis,6025
congenital poikiloderma,6026
peripheral artery thrombosis,6027
lymph node tuberculosis,6028
crest syndrome,6029
illiteracy,6030
infusion site phlebitis,6031
chorea,6032
self esteem decreased,6033
gastropleural fistula,6034
hyposmia,6035
calculus urethral,6036
cholelithiasis,6037
ureteric injury,6038
jaundice hepatocellular,6039
ophthalmological examination normal,6040
recall phenomenon,6041
bleeding anovulatory,6042
hydropneumothorax,6043
red blood cell count increased,6044
glaucoma surgery,6045
renal artery stenosis,6046
ejaculation disorder,6047
cervical root pain,6048
otosalpingitis,6049
aortic thrombosis,6050
tooth development disorder,6051
carbon monoxide diffusing capacity decreased,6052
epididymal cyst,6053
pharyngeal fistula,6054
monarthritis,6055
retinal naevus,6056
bone debridement,6057
glossopharyngeal nerve paralysis,6058
smear cervix abnormal,6059
blood creatine,6060
pelvic sepsis,6061
hereditary haemochromatosis,6062
fibula fracture,6063
malaria,6064
urine phosphate increased,6065
congenital eye naevus,6066
blindness,6067
blastocystis infection,6068
terminal dribbling,6069
fanconi syndrome,6070
diverticulum intestinal haemorrhagic,6071
blood amylase abnormal,6072
parkinson's disease,6073
vascular graft complication,6074
musculoskeletal disorder,6075
rib fracture,6076
cerebral haemorrhage traumatic,6077
gastrointestinal ulcer perforation,6078
abortion spontaneous complete,6079
cerebral infarction,6080
therapy cessation,6081
eye muscle operation,6082
hepatitis c positive,6083
retrocollis,6084
vertigo cns origin,6085
skin squamous cell carcinoma surgery,6086
thrombotic stroke,6087
congenital herpes simplex infection,6088
chlamydial cervicitis,6089
testicular oedema,6090
aortic regurgitation,6091
retinal tear,6092
abnormal clotting factor,6093
tinea pedis,6094
ejection fraction abnormal,6095
biopsy bladder abnormal,6096
fracture reduction,6097
cellulitis orbital,6098
mutagenic effect,6099
autoimmune thyroiditis,6100
epiglottis ulcer,6101
allergic respiratory symptom,6102
thrombocytopenic purpura,6103
coxsackie virus serology test positive,6104
haemorrhage subepidermal,6105
wrist fracture,6106
oophorectomy,6107
portal vein phlebitis,6108
omentectomy,6109
perineal pain,6110
po2 abnormal,6111
abdominal x-ray,6112
head circumference abnormal,6113
silicosis,6114
penile exfoliation,6115
gastrointestinal stoma complication,6116
benign neoplasm of spinal cord,6117
actinic elastosis,6118
gastroenteritis bacterial,6119
papilloma viral infection,6120
myeloblast count increased,6121
rectosigmoid cancer,6122
congenital hearing disorder,6123
mitral valve disease mixed,6124
acute abdomen,6125
metastases to central nervous system,6126
injury of neck,6127
exposure to extreme temperature,6128
injection site fibrosis,6129
fasciitis,6130
enteritis,6131
lactescent serum,6132
glossodynia,6133
cholestatic liver injury,6134
application site eczema,6135
oxygen saturation,6136
platelet count normal,6137
open fracture,6138
action tremor,6139
coagulation time prolonged,6140
accelerated idioventricular rhythm,6141
birth trauma,6142
perirenal haematoma,6143
aspiration bronchial,6144
elliptocytosis,6145
atrioventricular block complete,6146
cardiac autonomic neuropathy,6147
uterine polyp,6148
binge eating,6149
varicophlebitis,6150
diagnostic procedure,6151
rectal prolapse,6152
hepatitis b,6153
fluoride increased,6154
cytotoxic cardiomyopathy,6155
chronic lymphocytic leukaemia stage 0,6156
breakthrough bleeding,6157
microangiopathic haemolytic anaemia,6158
mastoiditis,6159
hypoaesthesia eye,6160
salpingectomy,6161
rotavirus infection,6162
hip fracture,6163
erythroblast count increased,6164
cognitive disorder,6165
erb's palsy,6166
blood alkaline phosphatase increased,6167
choluria,6168
myocardiac abscess,6169
gastrointestinal endoscopic therapy,6170
osteoradionecrosis,6171
thalamic syndrome,6172
pacemaker generated rhythm,6173
general nutrition disorder,6174
keratitis bacterial,6175
chemotherapy neurotoxicity attenuation,6176
capillary permeability increased,6177
meconium stain,6178
nephrolithiasis,6179
decubitus ulcer,6180
dandy-walker syndrome,6181
serum ferritin decreased,6182
lupus vasculitis,6183
perineal operation,6184
altered visual depth perception,6185
anastomotic ulcer perforation,6186
toe operation,6187
abortion spontaneous,6188
ascites infection,6189
precursor b-lymphoblastic lymphoma,6190
rash erythematous,6191
brain operation,6192
hypertensive hydrocephalus,6193
clavicle fracture,6194
hypocalciuria,6195
venous stent insertion,6196
death of companion,6197
infusion site warmth,6198
scan with contrast abnormal,6199
no reaction on previous exposure to drug,6200
thrombocytopenia,6201
application site irritation,6202
viith nerve paralysis,6203
clubbing,6204
miller fisher syndrome,6205
coombs direct test negative,6206
hyperglycaemia,6207
biliary ischaemia,6208
aldosterone urine decreased,6209
uterine prolapse,6210
pseudopolyp,6211
conductive deafness,6212
genital infection bacterial,6213
c1 esterase inhibitor decreased,6214
oral surgery,6215
graft versus host disease in liver,6216
fahr's disease,6217
blood pressure ambulatory decreased,6218
ileal stenosis,6219
operative haemorrhage,6220
enterococcal infection,6221
subacute combined cord degeneration,6222
excessive thirst,6223
bartter's syndrome,6224
pulmonary fistula,6225
female genital operation,6226
fallopian tube obstruction,6227
anaemia hypochromic,6228
hypertension neonatal,6229
cardiomyopathy neonatal,6230
phantom pain,6231
pruritus,6232
oesophageal varices haemorrhage,6233
trisomy 11,6234
keratosis follicular,6235
urine human chorionic gonadotropin increased,6236
application site discolouration,6237
poor venous access,6238
lung edema,6239
fluid overload,6240
glomerulonephritis minimal lesion,6241
blood aldosterone increased,6242
toxocariasis,6243
macroamylasaemia,6244
eye inflammation,6245
penile ulceration,6246
sleep terror,6247
globulins decreased,6248
gynaecological chlamydia infection,6249
renal embolism,6250
mouth plaque,6251
scab,6252
optic nerve infarction,6253
glomerulonephritis membranoproliferative,6254
peptic ulcer haemorrhage,6255
soft tissue atrophy,6256
hyperproteinaemia,6257
methaemoglobinaemia,6258
lithotripsy,6259
transfusion-transmitted infectious disease,6260
abdominal rebound tenderness,6261
capillary leak syndrome,6262
congenital muscle absence,6263
septal panniculitis,6264
accidental exposure,6265
diabetic nephropathy,6266
cyanosis,6267
nikolsky's sign,6268
rebound hypertension,6269
elevated prostate specific antigen,6270
inflammatory myofibroblastic tumour,6271
difficult to wean from ventilator,6272
intraocular lens implant,6273
automatic bladder,6274
gastric disorder,6275
caecitis,6276
palliative care,6277
procedural haemorrhage,6278
systemic candida,6279
dry eye,6280
pulmonary artery aneurysm,6281
pneumothorax,6282
fallopian tube cancer metastatic,6283
regurgitation of food,6284
oesophageal disorder,6285
atrial fibrillation,6286
congenital aplastic anaemia,6287
electrocardiogram change,6288
